file,name,return_type,args
src/android/android_native_app_glue.cpp,onStop,static void,ANativeActivity* activity
src/android/android_native_app_glue.cpp,LOGV,,"""Stop: %p\n"", activity"
src/android/android_native_app_glue.cpp,onConfigurationChanged,static void,ANativeActivity* activity
src/android/android_native_app_glue.cpp,LOGV,,"""ConfigurationChanged: %p\n"", activity"
src/android/android_native_app_glue.cpp,android_app_write_cmd,,"android_app, APP_CMD_CONFIG_CHANGED"
src/android/android_native_app_glue.cpp,onLowMemory,static void,ANativeActivity* activity
src/android/android_native_app_glue.cpp,LOGV,,"""LowMemory: %p\n"", activity"
src/android/android_native_app_glue.cpp,android_app_write_cmd,,"android_app, APP_CMD_LOW_MEMORY"
src/android/android_native_app_glue.cpp,onWindowFocusChanged,static void,"ANativeActivity* activity, int focused"
src/android/android_native_app_glue.cpp,LOGV,,"""WindowFocusChanged: %p -- %d\n"", activity, focused"
src/android/android_native_app_glue.cpp,onNativeWindowCreated,static void,"ANativeActivity* activity, ANativeWindow* window"
src/android/android_native_app_glue.cpp,LOGV,,"""NativeWindowCreated: %p -- %p\n"", activity, window"
src/android/android_native_app_glue.cpp,onNativeWindowDestroyed,static void,"ANativeActivity* activity, ANativeWindow* window"
src/android/android_native_app_glue.cpp,LOGV,,"""NativeWindowDestroyed: %p -- %p\n"", activity, window"
src/android/android_native_app_glue.cpp,onInputQueueCreated,static void,"ANativeActivity* activity, AInputQueue* queue"
src/android/android_native_app_glue.cpp,LOGV,,"""InputQueueCreated: %p -- %p\n"", activity, queue"
src/android/android_native_app_glue.cpp,onInputQueueDestroyed,static void,"ANativeActivity* activity, AInputQueue* queue"
src/android/android_native_app_glue.cpp,LOGV,,"""InputQueueDestroyed: %p -- %p\n"", activity, queue"
src/android/android_native_app_glue.cpp,ANativeActivity_onCreate,void,"ANativeActivity* activity, void* savedState, size_t savedStateSize"
src/android/android_native_app_glue.cpp,LOGV,,"""Creating: %p\n"", activity"
src/android/android_native_app_glue.h,android_app_pre_exec_cmd,void,"struct android_app* android_app, int8_t cmd"
src/android/android_native_app_glue.h,android_app_post_exec_cmd,void,"struct android_app* android_app, int8_t cmd"
src/android/android_native_app_glue.h,android_main,extern void,struct android_app* app
src/android/dependencies.cpp,bsd_signal,__sighandler_t,"int s, __sighandler_t f"
src/android/dependencies.cpp,if,,bsd_signal_func == NULL
src/android/dependencies.cpp,if,,bsd_signal_func == NULL
src/android/dependencies.cpp,__android_log_assert,,""""", ""bsd_signal_wrapper"", ""bsd_signal symbol not found!"""
src/android/dependencies.cpp,bsd_signal_func,return,"s, f"
src/client/animatedtext.cpp,AnimatedText::drawText,void,"const Point& dest, const Rect& visibleRect"
src/client/animatedtext.cpp,rect,Rect,"p, textSize"
src/client/animatedtext.cpp,if,,t > t0
src/client/animatedtext.cpp,AnimatedText::onAppear,void,
src/client/animatedtext.cpp,AnimatedText::setColor,void,int color
src/client/animatedtext.cpp,AnimatedText::setText,void,const std::string& text
src/client/animatedtext.cpp,AnimatedText::setFont,void,const std::string& fontName
src/client/animatedtext.cpp,AnimatedText::merge,bool,const AnimatedTextPtr& other
src/client/animatedtext.h,AnimatedText,public:,
src/client/animatedtext.h,drawText,void,"const Point& dest, const Rect& visibleRect"
src/client/animatedtext.h,setColor,void,int color
src/client/animatedtext.h,setText,void,const std::string& text
src/client/animatedtext.h,setOffset,void,const Point& offset
src/client/animatedtext.h,setFont,void,const std::string& fontName
src/client/animatedtext.h,getColor,Color,
src/client/animatedtext.h,getCachedText,const CachedText&,
src/client/animatedtext.h,getOffset,Point,
src/client/animatedtext.h,getTimer,Timer,
src/client/animatedtext.h,merge,bool,const AnimatedTextPtr& other
src/client/animatedtext.h,asAnimatedText,AnimatedTextPtr,
src/client/animatedtext.h,isAnimatedText,bool,
src/client/animatedtext.h,getText,std::string,
src/client/animatedtext.h,onAppear,protected: virtual void,
src/client/animator.cpp,Animator::unserialize,void,"int animationPhases, const FileStreamPtr& fin"
