cpp_symbol,lua_name,file,note
FileStream::getU16,FileStream:getU16,src/framework/core/filestream.h,method
FileStream::getU32,FileStream:getU32,src/framework/core/filestream.h,method
FileStream::getU64,FileStream:getU64,src/framework/core/filestream.h,method
FileStream::getU8,FileStream:getU8,src/framework/core/filestream.h,method
FileStream::initFromGzip,FileStream:initFromGzip,src/framework/core/filestream.h,method
FileStream::name,FileStream:name,src/framework/core/filestream.h,method
FileStream::read,FileStream:read,src/framework/core/filestream.h,method
FileStream::seek,FileStream:seek,src/framework/core/filestream.h,method
FileStream::size,FileStream:size,src/framework/core/filestream.h,method
FileStream::skip,FileStream:skip,src/framework/core/filestream.h,method
FileStream::startNode,FileStream:startNode,src/framework/core/filestream.h,method
FileStream::tell,FileStream:tell,src/framework/core/filestream.h,method
FileStream::throwError,FileStream:throwError,src/framework/core/filestream.h,method
FileStream::write,FileStream:write,src/framework/core/filestream.h,method
FontManager::clearFonts,g_fonts.clearFonts,src/framework/graphics/fontmanager.h,singleton
FontManager::fontExists,g_fonts.fontExists,src/framework/graphics/fontmanager.h,singleton
FontManager::getDefaultFont,g_fonts.getDefaultFont,src/framework/graphics/fontmanager.h,singleton
FontManager::getFont,g_fonts.getFont,src/framework/graphics/fontmanager.h,singleton
FontManager::importFont,g_fonts.importFont,src/framework/graphics/fontmanager.h,singleton
FontManager::setDefaultFont,g_fonts.setDefaultFont,src/framework/graphics/fontmanager.h,singleton
FontManager::terminate,g_fonts.terminate,src/framework/graphics/fontmanager.h,singleton
Game::acceptTrade,g_game.acceptTrade,src/client/game.h,singleton
Game::addVip,g_game.addVip,src/client/game.h,singleton
Game::answerModalDialog,g_game.answerModalDialog,src/client/game.h,singleton
Game::applyImbuement,g_game.applyImbuement,src/client/game.h,singleton
Game::attack,g_game.attack,src/client/game.h,singleton
Game::autoWalk,g_game.autoWalk,src/client/game.h,singleton
Game::browseField,g_game.browseField,src/client/game.h,singleton
Game::buyItem,g_game.buyItem,src/client/game.h,singleton
Game::buyStoreOffer,g_game.buyStoreOffer,src/client/game.h,singleton
Game::canPerformGameAction,g_game.canPerformGameAction,src/client/game.h,singleton
Game::canReportBugs,g_game.canReportBugs,src/client/game.h,singleton
Game::cancelAttack,g_game.cancelAttack,src/client/game.h,singleton
Game::cancelAttackAndFollow,g_game.cancelAttackAndFollow,src/client/game.h,singleton
Game::cancelFollow,g_game.cancelFollow,src/client/game.h,singleton
Game::cancelLogin,g_game.cancelLogin,src/client/game.h,singleton
Game::cancelRuleViolation,g_game.cancelRuleViolation,src/client/game.h,singleton
Game::changeMapAwareRange,g_game.changeMapAwareRange,src/client/game.h,singleton
Game::changeOutfit,g_game.changeOutfit,src/client/game.h,singleton
Game::checkBotProtection,g_game.checkBotProtection,src/client/game.h,singleton
Game::clearImbuement,g_game.clearImbuement,src/client/game.h,singleton
Game::close,g_game.close,src/client/game.h,singleton
Game::closeImbuingWindow,g_game.closeImbuingWindow,src/client/game.h,singleton
Game::closeNpcChannel,g_game.closeNpcChannel,src/client/game.h,singleton
Game::closeNpcTrade,g_game.closeNpcTrade,src/client/game.h,singleton
Game::closeRuleViolation,g_game.closeRuleViolation,src/client/game.h,singleton
Game::debugReport,g_game.debugReport,src/client/game.h,singleton
Game::disableBotCall,g_game.disableBotCall,src/client/game.h,singleton
Game::disableFeature,g_game.disableFeature,src/client/game.h,singleton
Game::editList,g_game.editList,src/client/game.h,singleton
Game::editText,g_game.editText,src/client/game.h,singleton
Game::editVip,g_game.editVip,src/client/game.h,singleton
Game::enableBotCall,g_game.enableBotCall,src/client/game.h,singleton
Game::enableFeature,g_game.enableFeature,src/client/game.h,singleton
Game::enableTileThingLuaCallback,g_game.enableTileThingLuaCallback,src/client/game.h,singleton
Game::equipItem,g_game.equipItem,src/client/game.h,singleton
Game::equipItemId,g_game.equipItemId,src/client/game.h,singleton
Game::excludeFromOwnChannel,g_game.excludeFromOwnChannel,src/client/game.h,singleton
Game::findEmptyContainerId,g_game.findEmptyContainerId,src/client/game.h,singleton
Game::findItemInContainers,g_game.findItemInContainers,src/client/game.h,singleton
Game::follow,g_game.follow,src/client/game.h,singleton
Game::forceLogout,g_game.forceLogout,src/client/game.h,singleton
Game::formatCreatureName,g_game.formatCreatureName,src/client/game.h,singleton
Game::getAttackingCreature,g_game.getAttackingCreature,src/client/game.h,singleton
Game::getCharacterName,g_game.getCharacterName,src/client/game.h,singleton
Game::getChaseMode,g_game.getChaseMode,src/client/game.h,singleton
Game::getClientVersion,g_game.getClientVersion,src/client/game.h,singleton
Game::getContainer,g_game.getContainer,src/client/game.h,singleton
Game::getCustomProtocolVersion,g_game.getCustomProtocolVersion,src/client/game.h,singleton
Game::getExpertPvpMode,g_game.getExpertPvpMode,src/client/game.h,singleton
Game::getFeature,g_game.getFeature,src/client/game.h,singleton
Game::getFightMode,g_game.getFightMode,src/client/game.h,singleton
Game::getFollowingCreature,g_game.getFollowingCreature,src/client/game.h,singleton
Game::getGMActions,g_game.getGMActions,src/client/game.h,singleton
Game::getLastWalkDir,g_game.getLastWalkDir,src/client/game.h,singleton
Game::getLocalPlayer,g_game.getLocalPlayer,src/client/game.h,singleton
Game::getMaxPreWalkingSteps,g_game.getMaxPreWalkingSteps,src/client/game.h,singleton
Game::getOpenPvpSituations,g_game.getOpenPvpSituations,src/client/game.h,singleton
Game::getOs,g_game.getOs,src/client/game.h,singleton
Game::getPVPMode,g_game.getPVPMode,src/client/game.h,singleton
Game::getPing,g_game.getPing,src/client/game.h,singleton
Game::getProtocolGame,g_game.getProtocolGame,src/client/game.h,singleton
Game::getProtocolVersion,g_game.getProtocolVersion,src/client/game.h,singleton
Game::getServerBeat,g_game.getServerBeat,src/client/game.h,singleton
Game::getUnjustifiedPoints,g_game.getUnjustifiedPoints,src/client/game.h,singleton
Game::getWalkId,g_game.getWalkId,src/client/game.h,singleton
Game::getWalkPreditionId,g_game.getWalkPreditionId,src/client/game.h,singleton
Game::getWorldName,g_game.getWorldName,src/client/game.h,singleton
Game::ignoreServerDirection,g_game.ignoreServerDirection,src/client/game.h,singleton
Game::init,g_game.init,src/client/game.h,singleton
Game::inspectNpcTrade,g_game.inspectNpcTrade,src/client/game.h,singleton
Game::inspectTrade,g_game.inspectTrade,src/client/game.h,singleton
Game::inviteToOwnChannel,g_game.inviteToOwnChannel,src/client/game.h,singleton
Game::isAttacking,g_game.isAttacking,src/client/game.h,singleton
Game::isConnectionOk,g_game.isConnectionOk,src/client/game.h,singleton
Game::isDead,g_game.isDead,src/client/game.h,singleton
Game::isFollowing,g_game.isFollowing,src/client/game.h,singleton
Game::isGM,g_game.isGM,src/client/game.h,singleton
Game::isLogging,g_game.isLogging,src/client/game.h,singleton
Game::isOnline,g_game.isOnline,src/client/game.h,singleton
Game::isSafeFight,g_game.isSafeFight,src/client/game.h,singleton
Game::isTileThingLuaCallbackEnabled,g_game.isTileThingLuaCallbackEnabled,src/client/game.h,singleton
Game::joinChannel,g_game.joinChannel,src/client/game.h,singleton
Game::leaveChannel,g_game.leaveChannel,src/client/game.h,singleton
Game::loginWorld,g_game.loginWorld,src/client/game.h,singleton
Game::look,g_game.look,src/client/game.h,singleton
Game::mount,g_game.mount,src/client/game.h,singleton
Game::move,g_game.move,src/client/game.h,singleton
Game::moveRaw,g_game.moveRaw,src/client/game.h,singleton
