widget,prop,value,file,line
imbue,image-source,/images/game/imbuing/imbue_empty,modules/modules/game_imbuing/imbuing.otui,196
clear,image-source,/images/game/imbuing/clear,modules/modules/game_imbuing/imbuing.otui,284
nan,image-source,/images/ui/panel_side,modules/modules/game_interface/gameinterface.otui,1
nan,image-source,/images/ui/panel_map,modules/modules/game_interface/gameinterface.otui,16
image,background,alpha,modules/modules/game_interface/gameinterface.otui,28
gameTopBar,image-source,/images/ui/panel_bottom2,modules/modules/game_interface/gameinterface.otui,195
balanceLabel,font,verdana-11px-rounded,modules/modules/game_market/market.otui,28
selectedItem,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,36
nameLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,48
createLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,58
offerTypeLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,68
totalPriceLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,88
piecePriceLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,110
amountLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,132
feeLabel,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers.otui,183
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/general/marketbuttons.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/general/marketcombobox.otui,1
nan,image-source,/images/combobox_rounded,modules/modules/game_market/ui/general/marketcombobox.otui,6
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/general/marketcombobox.otui,15
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/general/markettabs.otui,3
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/general/markettabs.otui,23
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers/browse.otui,133
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemdetails.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemdetails.otui,11
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemoffers.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemoffers.otui,6
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemoffers.otui,16
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemoffers.otui,21
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers/itemoffers.otui,43
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers/itemoffers.otui,116
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemstats.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/marketoffers/itemstats.otui,8
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers/itemstats.otui,20
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers/itemstats.otui,64
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/marketoffers/overview.otui,5
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/myoffers/currentoffers.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/myoffers/currentoffers.otui,6
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/myoffers/currentoffers.otui,16
nan,font,verdana-11px-monochrome,modules/modules/game_market/ui/myoffers/currentoffers.otui,21
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/myoffers/currentoffers.otui,43
nan,font,verdana-11px-rounded,modules/modules/game_market/ui/myoffers/currentoffers.otui,107
nan,image-source,/images/game/minimap/flagcheckbox,modules/modules/game_minimap/flagwindow.otui,1
minimapWindow,icon,/images/topbuttons/minimap,modules/modules/game_minimap/minimap.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_modaldialog/modaldialog.otui,1
nan,image-source,/images/game/floor,modules/modules/game_outfit/outfitwindow.otui,1
ownTradeCountLabel,font,verdana-9px-bold,modules/modules/game_playertrade/tradewindow.otui,29
counterTradeCountLabel,font,verdana-9px-bold,modules/modules/game_playertrade/tradewindow.otui,37
shopPermButton,image-source,/images/game/prey/prey_perm_test,modules/modules/game_prey/prey.otui,19
shopTempButton,image-source,/images/game/prey/prey_temp_test,modules/modules/game_prey/prey.otui,43
nan,image-source,/images/game/prey/prey_star,modules/modules/game_prey/prey.otui,56
nan,image-source,/images/game/prey/prey_nostar,modules/modules/game_prey/prey.otui,60
nan,image-source,/images/ui/panel_flat,modules/modules/game_prey/prey.otui,67
nan,image-source,/images/game/prey/prey_biginactive,modules/modules/game_prey/prey.otui,74
noBonusIcon,image-source,/images/game/prey/prey_bignobonus,modules/modules/game_prey/prey.otui,88
autoRerollCheck,image-source,/images/ui/panel_flat,modules/modules/game_prey/prey.otui,202
autoRerollCheck,font,verdana-11px-rounded,modules/modules/game_prey/prey.otui,202
lockPreyCheck,image-source,/images/ui/panel_flat,modules/modules/game_prey/prey.otui,229
lockPreyCheck,font,verdana-11px-rounded,modules/modules/game_prey/prey.otui,229
creature,image-source,/images/ui/panel_flat,modules/modules/game_prey/prey.otui,252
icon,image-source,/images/game/prey/prey_bignobonus,modules/modules/game_prey/prey.otui,270
selectPrey,image-source,/images/game/prey/prey_bonus_reroll,modules/modules/game_prey/prey.otui,312
choosePreyButton,image-source,/images/game/prey/prey_choose,modules/modules/game_prey/prey.otui,372
pickSpecificPrey,image-source,/images/game/prey/prey_select_blocked,modules/modules/game_prey/prey.otui,389
rerollButton,image-source,/images/game/prey/prey_reroll,modules/modules/game_prey/prey.otui,425
cards,image-source,/images/game/prey/prey_wildcard,modules/modules/game_prey/prey.otui,449
gold,image-source,/images/game/prey/prey_gold,modules/modules/game_prey/prey.otui,467
nan,image-source,/images/ui/window,modules/modules/game_prey/prey.otui,505
closeButton,font,cipsoftFont,modules/modules/game_prey/prey.otui,582
openStore,image-source,/images/topbuttons/shop,modules/modules/game_prey/prey.otui,604
noCreature,image-source,/images/game/prey/prey_inactive,modules/modules/game_prey/prey.otui,630
creatureName,font,verdana-11px-rounded,modules/modules/game_prey/prey.otui,645
preyTracker,icon,/images/topbuttons/prey,modules/modules/game_prey/prey.otui,667
nan,font,verdana-11px-rounded,modules/modules/game_prey/prey.otui,679
nan,font,verdana-11px-monochrome,modules/modules/game_questlog/questlogwindow.otui,19
closeButton,font,cipsoftFont,modules/modules/game_questlog/questlogwindow.otui,127
showButton,font,cipsoftFont,modules/modules/game_questlog/questlogwindow.otui,137
trackerButton,font,cipsoftFont,modules/modules/game_questlog/questlogwindow.otui,148
questTracker,icon,/images/topbuttons/quest_tracker,modules/modules/game_questlog/questlogwindow.otui,160
nan,font,cipsoftFont,modules/modules/game_questlog/questlogwindow.otui,181
nan,background,#99999999,modules/modules/game_shop/shop.otui,1
name,font,verdana-11px-rounded,modules/modules/game_shop/shop.otui,9
nan,background,#99999999,modules/modules/game_shop/shop.otui,56
title,font,verdana-11px-rounded,modules/modules/game_shop/shop.otui,63
description,font,verdana-11px-rounded,modules/modules/game_shop/shop.otui,74
ad,font,sans-bold-16px,modules/modules/game_shop/shop.otui,172
cancelButton,font,cipsoftFont,modules/modules/game_shop/transfer.otui,61
giftButton,font,cipsoftFont,modules/modules/game_shop/transfer.otui,72
nan,font,verdana-11px-monochrome,modules/modules/game_skills/skills.otui,11
value,font,verdana-11px-monochrome,modules/modules/game_skills/skills.otui,17
skillWindow,icon,/images/topbuttons/skills,modules/modules/game_skills/skills.otui,36
nan,image-source,/images/game/spells/defaultspells,modules/modules/game_spelllist/spelllist.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_spelllist/spelllist.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_spelllist/spelllist.otui,16
labelVocationFilter,font,verdana-11px-monochrome,modules/modules/game_spelllist/spelllist.otui,199
labelGroupFilter,font,verdana-11px-monochrome,modules/modules/game_spelllist/spelllist.otui,250
labelPremiumFilter,font,verdana-11px-monochrome,modules/modules/game_spelllist/spelllist.otui,293
fps,font,verdana-11px-rounded,modules/modules/game_stats/stats.otui,11
ping,font,verdana-11px-rounded,modules/modules/game_stats/stats.otui,15
nan,font,verdana-11px-rounded,modules/modules/game_textmessage/textmessage.otui,1
box,image-source,/images/ui/dark_background,modules/modules/game_topbar/topbar.otui,28
level,font,verdana-11px-rounded,modules/modules/game_topbar/topbar.otui,38
icon,image-source,/images/game/topbar/icons,modules/modules/game_topbar/topbar.otui,47
shop,image-source,/images/game/topbar/boost,modules/modules/game_topbar/topbar.otui,67
nan,image-source,/images/game/skull_socket,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,8
unjustifiedPointsWindow,icon,/images/topbuttons/unjustifiedpoints,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,14
openPvpSituationsLabel,font,verdana-11px-rounded,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,33
skullTimeLabel,font,verdana-11px-rounded,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,53
nan,image-source,/images/game/viplist/vipcheckbox,modules/modules/game_viplist/editvip.otui,1
nan,image-source,/images/game/viplist/icons,modules/modules/game_viplist/viplist.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_viplist/viplist.otui,1
vipWindow,icon,/images/topbuttons/viplist,modules/modules/game_viplist/viplist.otui,13
