widget,prop,value,file,line
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,159
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,163
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,167
monsters,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,248
monsters,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,248
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,258
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,279
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,305
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,324
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,343
up,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,363
down,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,374
addEntry,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,384
spellName,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,401
spellName,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,401
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,413
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,427
mainLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,558
settingsLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,577
shooterLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,594
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,610
settings,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,618
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,1
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,77
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,180
trigger,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,17
onSayLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,40
onSayPhrase,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,56
onShootLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,87
onCastLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,119
actions,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,136
followLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,153
attackLeaderTarget,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,177
attackSpell,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,201
server,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,249
botServerLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,266
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,373
toolsButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,383
Cure,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,8
label1,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,15
label11,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,25
PoisonCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,33
label2,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,47
label22,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,56
CurseCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,64
label3,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,78
label33,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,87
BleedCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,95
label4,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,109
label44,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,118
BurnCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,126
label5,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,140
label55,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,149
ElectrifyCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,157
label6,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,171
label66,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,180
ParalyseCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,188
label7,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,202
ParalyseSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,211
Hold,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,219
label1,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,226
label11,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,236
HasteCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,244
label2,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,258
HasteSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,267
