file,lines,bytes
src/framework/util/crypt.h,79,3143
src/framework/util/databuffer.h,114,3505
src/framework/util/extras.cpp,6,97
src/framework/util/extras.h,86,2466
src/framework/util/framecounter.h,26,527
src/framework/util/matrix.h,246,7358
src/framework/util/pngunpacker.cpp,32,880
src/framework/util/pngunpacker.h,29,644
src/framework/util/point.h,104,4415
src/framework/util/qrcodegen.c,1022,41332
src/framework/util/qrcodegen.h,311,14218
src/framework/util/rect.h,343,12407
src/framework/util/size.h,126,5124
src/framework/util/stats.cpp,257,8782
src/framework/util/stats.h,129,3351
src/framework/xml/tinystr.cpp,112,2711
src/framework/xml/tinystr.h,304,8970
src/framework/xml/tinyxml.cpp,1690,38304
src/framework/xml/tinyxml.h,1721,68840
src/framework/xml/tinyxmlerror.cpp,53,1865
src/framework/xml/tinyxmlparser.cpp,1644,47745
