widget_or_type,file,line,anchor
optionsTabContent,modules/modules/client_options/options.otui,32,:ref:`modules-modules-client-options-options-otui-l32-optionstabconten-79621b0ba3`
nan,modules/modules/client_options/options.otui,41,:ref:`modules-modules-client-options-options-otui-l41-nan-eea85c036b`
nan,modules/modules/client_stats/stats.otui,1,:ref:`modules-modules-client-stats-stats-otui-l1-nan-815562efe0`
nan,modules/modules/client_stats/stats.otui,10,:ref:`modules-modules-client-stats-stats-otui-l10-nan-aca7926c07`
debugWindow,modules/modules/client_stats/stats.otui,18,:ref:`modules-modules-client-stats-stats-otui-l18-debugwindow-20b6502f82`
debugPanel,modules/modules/client_stats/stats.otui,33,:ref:`modules-modules-client-stats-stats-otui-l33-debugpanel-ab35b971cb`
sleepTime,modules/modules/client_stats/stats.otui,41,:ref:`modules-modules-client-stats-stats-otui-l41-sleeptime-419069fade`
luaRamUsage,modules/modules/client_stats/stats.otui,46,:ref:`modules-modules-client-stats-stats-otui-l46-luaramusage-9332e27308`
atlas,modules/modules/client_stats/stats.otui,50,:ref:`modules-modules-client-stats-stats-otui-l50-atlas-edde445fec`
nan,modules/modules/client_stats/stats.otui,54,:ref:`modules-modules-client-stats-stats-otui-l54-nan-0abdf70934`
proxies,modules/modules/client_stats/stats.otui,57,:ref:`modules-modules-client-stats-stats-otui-l57-proxies-a87a5e2825`
nan,modules/modules/client_stats/stats.otui,61,:ref:`modules-modules-client-stats-stats-otui-l61-nan-78492e0be4`
mainStats,modules/modules/client_stats/stats.otui,64,:ref:`modules-modules-client-stats-stats-otui-l64-mainstats-0518112efd`
nan,modules/modules/client_stats/stats.otui,68,:ref:`modules-modules-client-stats-stats-otui-l68-nan-2fccd4c2b1`
adaptiveRender,modules/modules/client_stats/stats.otui,71,:ref:`modules-modules-client-stats-stats-otui-l71-adaptiverender-ae487b10a4`
render,modules/modules/client_stats/stats.otui,75,:ref:`modules-modules-client-stats-stats-otui-l75-render-8edaf4cd67`
nan,modules/modules/client_stats/stats.otui,79,:ref:`modules-modules-client-stats-stats-otui-l79-nan-5856639f61`
dispatcherStats,modules/modules/client_stats/stats.otui,82,:ref:`modules-modules-client-stats-stats-otui-l82-dispatcherstats-04c9a41161`
nan,modules/modules/client_stats/stats.otui,86,:ref:`modules-modules-client-stats-stats-otui-l86-nan-58096f6376`
luaStats,modules/modules/client_stats/stats.otui,89,:ref:`modules-modules-client-stats-stats-otui-l89-luastats-8fa300d93d`
nan,modules/modules/client_stats/stats.otui,93,:ref:`modules-modules-client-stats-stats-otui-l93-nan-e4fe2c8ac8`
luaCallback,modules/modules/client_stats/stats.otui,96,:ref:`modules-modules-client-stats-stats-otui-l96-luacallback-72ca94ce86`
