file,line,status,problem
13_layouts/diagrams/overview.mmd,1,OK,Already has init header
13_layouts/diagrams/resolve_flow.mmd,1,OK,Already has init header
13_layouts/diagrams/layouts_overview.mmd,1,OK,Already has init header
13_layouts/diagrams/layouts_topology.mmd,1,OK,Already has init header
13_layouts/diagrams/override_resolution.mmd,1,OK,Already has init header
10_game_runtime/diagrams/overview.mmd,1,OK,Already has init header
10_game_runtime/diagrams/loop.mmd,1,OK,Already has init header
10_game_runtime/diagrams/flow.mmd,1,OK,Already has init header
10_game_runtime/diagrams/runtime_loop.mmd,1,OK,Already has init header
10_game_runtime/diagrams/architecture.mmd,1,OK,Already has init header
_sources/chapter_02_events_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_12_otmod_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_05_network_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_15_vc16_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_14_android_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_11_data_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_13_layouts_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_09_logging_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
_sources/chapter_03_modules_docs_export_kit_authoring_agent_ready.md,0,ERROR,Error: attribute 'regs' of 're.Match' objects is not writable
