source_path,reason,details
game_bot/default_configs/vBot_4.7/targetbot/creature.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/targetbot/creature_attack.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/targetbot/creature_priority.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/targetbot/walking.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/targetbot/creature_editor.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/targetbot/looting.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/AttackBot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/eat_food.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/alarms.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/spy_level.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/exeta.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/Dropper.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/supplies.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/npc_talk.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/tools.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/Containers.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/analyzer.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/xeno_menu.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/configs.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/antiRs.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/new_healer.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/Equipper.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/items.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/cast_food.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/HealBot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/vlib.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/ingame_editor.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/equip.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/depositer_config.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/playerlist.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/Sio.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/cavebot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/quiver_manager.lua,no_links,No internal links found
